Depth,SiteName,Big Dig Site Code,Latitude,Longitude,Elevation,SO,FT,CP,P,Depth,Interval,Car %?,Nit,Phos,BicarP,NaOHP,pH,water,bio.nmol,bio,bio.C,AG,AG.bio,AG.C,BG,BG.bio,BG.C,BX,BX.bio,BX.C,CBH,CBH.bio,CBH.C,NAG,NAG.bio,NAG.C,AP,AP.bio,AP.C,Cenz,Cenz.bio,logNCEnz,logCPEnz,logNPEnz,EnzTotal,EnzTotal.bio,Act,AMF,Ana,Euk,Fung,GramN,GramP,Gen,Act.nor,AMF.nor,Ana.nor,Euk.nor,Fung.nor,GramN.nor,GramP.nor,Bact.total,Fung.total
20,TABDYS-4-MS valley,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,valley,P6,20,20,1.7,0.15,65.65,9.18,54.63,4.9,0.37,163.26,34.74,20.44,11.54,0.33,6.79,145.91,4.2,85.83,60.13,1.73,35.37,25.99,0.75,15.29,233.99,6.73,137.64,894.66,25.75,526.27,243.59,7.01,0.993,0.809,0.803,1372.24,8.41,5.799,0.858,0.165,0.508,0.113,10.849,9.542,6.911,0.21,0.032,0.006,0.016,0.004,0.367,0.365,26.354,0.971
50,TABDYS-4-MS valley,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,valley,P6,50,30,1.25,0.11,37.34,2.3025,34.4925,5.3,0.27,93.99,19.84,15.87,5.41,0.27,4.33,114.61,5.78,91.69,52.59,2.65,42.07,9.16,0.46,7.33,81.32,4.1,65.06,543.11,27.38,434.49,181.77,9.16,0.847,0.827,0.7,806.2,8.58,3.642,0.378,0.091,0.365,0.081,5.061,6.304,3.916,0.229,0.025,0.005,0.02,0.005,0.299,0.417,15.099,0.46
80,TABDYS-4-MS valley,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,valley,P6,80,30,0.8,0.08,24.07,1.6725,22.035,4.9,0.14,59.47,12.57,15.71,5.26,0.42,6.58,84.43,6.72,105.54,25.94,2.06,32.43,4.72,0.38,5.9,30.19,2.4,37.74,495.4,39.42,619.25,120.36,9.58,0.717,0.773,0.554,645.95,10.86,2.431,0.27,0.04,0.171,0.074,3.184,3.929,2.467,0.241,0.028,0.004,0.015,0.007,0.297,0.409,9.584,0.344
110,TABDYS-4-MS valley,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,valley,P6,110,30,0.09,0.009,8.51,0.765,7.3575,3.9,0.09,8.8,1.84,19.57,1.26,0.69,13.4,6.17,3.36,65.64,2.83,1.54,30.11,1.18,0.64,12.55,26.56,14.47,282.55,155.98,84.96,1659.36,11.44,6.23,1.316,0.499,0.656,193.98,22.05,0.314,0.034,0,0.003,0.03,0.451,0.536,0.468,0.228,0.026,0,0.002,0.02,0.315,0.41,1.301,0.064
140,TABDYS-4-MS valley,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,valley,P6,140,30,0.03,0.003,0,0,0,4.9,0.07,0.62,0.13,3.9,0.52,4.13,15.6,1.22,9.69,36.6,0.48,3.81,14.4,0.91,7.23,27.3,0.55,4.37,16.5,36.91,293.21,1107.3,3.14,24.94,0.308,0.391,0.121,40.6,65.55,0.018,0,0,0.009,0,0,0.043,0.056,0.25,0,0,0.139,0,0,0.611,0.061,0
0,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,0,0,7.45,0.5,154.72,30.24,107.01,4.8,1.04,490.69,106.93,14.35,20.99,0.2,2.82,521.75,4.88,70.03,165.67,1.55,22.24,118.4,1.11,15.89,460.57,4.31,61.82,2414.1,22.58,324.04,826.8,7.73,0.913,0.863,0.788,3701.47,7.54,10.193,2.294,0.186,1.874,0.58,41.189,28.935,21.683,0.124,0.029,0.002,0.019,0.007,0.455,0.365,80.503,2.874
20,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,20,20,4.2,0.3,26.72,4.11,21.18,4.1,0.67,290.43,62.84,14.96,36.54,0.58,8.7,249.48,3.97,59.4,104.72,1.67,24.93,36.12,0.57,8.6,285.84,4.55,68.06,2411.86,38.38,574.25,426.85,6.79,0.934,0.778,0.727,3124.55,10.76,7.143,1.019,0.138,0.978,0.166,20.994,20.093,12.31,0.145,0.021,0.003,0.016,0.003,0.387,0.424,48.367,1.185
50,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,50,30,1.8,0.11,5.72,0.8925,4.0725,4.1,0.67,58.16,12.45,6.92,17.65,1.42,9.81,45.67,3.67,25.37,26.16,2.1,14.53,32.98,2.65,18.32,30.14,2.42,16.74,1337.45,107.4,743.03,122.47,9.83,0.714,0.669,0.478,1490.06,25.62,1.683,0.146,0,0.089,0.056,2.586,4.561,3.332,0.189,0.017,0,0.008,0.006,0.262,0.519,8.83,0.202
80,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,80,30,1.09,0.06,9.63,0.84,8.625,3.7,0.54,26.51,5.64,5.17,14.91,2.64,13.68,14.6,2.59,13.39,11.38,2.02,10.44,10.27,1.82,9.42,10.45,1.85,9.59,201.57,35.72,184.93,51.16,9.07,0.617,0.745,0.459,263.18,9.93,0.512,0.06,0.141,0.02,0.062,1.371,1.499,1.978,0.142,0.017,0.037,0.005,0.016,0.36,0.423,3.523,0.122
110,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,110,30,0.72,0.04,13.09,1.008,10.2675,4.2,0.49,8.91,1.86,2.59,15.03,8.06,20.94,23.07,12.38,32.15,16.63,8.92,23.17,14.13,7.58,19.69,4.09,2.19,5.7,161.34,86.56,224.81,68.87,36.95,0.383,0.834,0.32,234.3,26.31,0.263,0,0,0.007,0,0.456,0.505,0.632,0.212,0,0,0.007,0,0.365,0.414,1.224,0
140,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,140,30,0.59,0.03,7.92,1.914,5.622,3.65,0.49,12.07,2.55,4.33,5.93,2.33,10.07,26.42,10.37,44.86,24.26,9.52,41.19,6.73,2.64,11.43,6.02,2.36,10.22,185.42,72.79,314.85,63.34,24.86,0.468,0.797,0.373,254.78,21.11,0.473,0.029,0,0.011,0.018,0.514,0.76,0.742,0.264,0.016,0,0.006,0.009,0.277,0.428,1.747,0.047
0,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,0,0,8.36,0.43,130.36,28.29,94.53,4.1,0.88,526.89,114.83,13.74,109.06,0.95,13.05,974.57,8.49,116.58,438.1,3.82,52.4,237.77,2.07,28.44,344.4,3,41.2,5717.18,49.79,683.87,1759.51,15.32,0.782,0.864,0.676,7821.09,14.84,10.376,1.937,0.133,3.639,0.331,37.456,36.062,24.9,0.119,0.023,0.001,0.034,0.004,0.392,0.426,84.027,2.268
20,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,20,20,5,0.29,37.72,8.55,27.315,4.2,0.72,331.25,72.14,14.43,65.01,0.9,13,438.06,6.07,87.61,188.13,2.61,37.63,58.28,0.81,11.66,183.95,2.55,36.79,3250.75,45.06,650.15,749.48,10.39,0.788,0.819,0.645,4184.18,12.63,7.624,1.162,0.186,1.454,0.725,23.402,22.175,15.416,0.138,0.022,0.003,0.021,0.012,0.387,0.416,53.387,1.887
50,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,50,30,2.07,0.13,17.45,1.8375,14.8425,4.1,0.61,85.25,18.32,8.85,43.64,2.38,21.08,142.41,7.78,68.8,84.33,4.6,40.74,38.52,2.1,18.61,44.38,2.42,21.44,816.73,44.59,394.56,308.9,16.87,0.665,0.855,0.569,1170.01,13.72,2.887,0.172,0.102,0.174,0.092,4.252,6.437,4.198,0.21,0.013,0.007,0.01,0.006,0.279,0.475,13.679,0.264
80,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,80,30,1.44,0.08,13.65,0.6975,12.8175,4.1,0.58,31.9,6.86,4.76,43.65,6.36,30.31,93.42,13.61,64.88,58.44,8.52,40.58,26.99,3.93,18.74,36.92,5.38,25.64,595.62,86.8,413.63,222.5,32.42,0.672,0.846,0.569,855.04,26.8,1.032,0.063,0,0.183,0.103,1.44,2.222,1.818,0.209,0.013,0,0.033,0.019,0.266,0.459,4.695,0.167
110,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,110,30,0.56,0.02,17.38,1.2075,15.93,4,0.43,3.27,0.69,1.24,20.2,29.32,36.33,22.45,32.58,40.38,22.08,32.04,39.71,10.81,15.69,19.44,9.73,14.12,17.5,287.87,417.77,517.75,75.54,109.63,0.547,0.766,0.419,373.14,114.22,0.181,0,0,0.011,0,0.125,0.196,0.177,0.348,0,0,0.02,0,0.238,0.393,0.502,0
140,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,140,30,0.34,0.02,12.47,1.398,10.788,4.1,0.57,0.16,0.03,0.09,26.45,788.34,77.49,19.77,589.24,57.92,21.48,640.21,62.93,16.44,489.99,48.16,8.52,253.94,24.96,260.65,7768.67,763.63,84.14,2507.79,0.507,0.798,0.405,353.31,2238.17,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0
